upstream,downstream,lag,corr
07374000,07374525,0,0.9963962160329187
07289000,07374000,3,0.9903688081889792
07032000,07289000,6,0.9729488932810008
07022000,07032000,3,0.8786465266776776
07020500,07022000,0,0.9975312337975423
07010000,07020500,1,0.9969067948738568
05587450,07010000,0,0.973119988663123
05474500,05587450,4,0.9374795603172607
05420500,05474500,1,0.9391822372403138
05378500,05420500,3,0.9071515420689513
05355341,05378500,-1,0.9622987374029442
05355250,05355341,2,0.9882495665958554
05344500,05355250,0,0.9999916226792767
05331580,05344500,0,0.9904632427859765
05331000,05331580,0,0.9946552194734475
05288500,05331000,2,0.9609827508514714
05270700,05288500,1,0.9891923114930536
05267000,05270700,0,0.9945246333391019
05242300,05267000,-1,0.9671601779923825
05227500,05242300,0,0.9883716645540889
05211000,05227500,-1,0.762745342016232
05207600,05211000,10,0.9280555128934656
05200510,05207600,10,0.6809972865872735
